home_team,away_team,home_xg,away_xg,total_xg,predicted_home_goals,predicted_away_goals
France,Brazil,1.64,1.9,3.54,1,1
Argentina,Germany,2.19,1.74,3.93,2,1
Spain,England,1.63,1.01,2.64,1,0
Portugal,Netherlands,1.65,1.68,3.32,1,1
Italy,Belgium,1.99,1.17,3.16,2,1
Japan,South Korea,0.94,0.68,1.63,0,0
Mexico,United States,1.69,0.61,2.31,1,0
Uruguay,Colombia,1.21,0.91,2.12,1,0
Croatia,Denmark,1.7,1.55,3.25,1,1
Morocco,Senegal,0.84,0.77,1.61,0,0
France,Argentina,1.76,1.89,3.65,1,1
Spain,Germany,2.36,1.27,3.64,2,1
Brazil,England,1.54,1.29,2.82,1,1
Portugal,France,1.45,1.89,3.34,1,2
Argentina,Brazil,1.58,1.6,3.18,1,1
France,Bolivia,3.63,0.44,4.07,3,0
Germany,Japan,2.07,1.33,3.4,2,1
Spain,Morocco,1.84,0.5,2.35,1,0
United States,Iran,0.43,1.47,1.9,0,1
Saudi Arabia,Mexico,0.52,1.04,1.56,0,1
Australia,Tunisia,1.03,1.09,2.12,1,1
Canada,Costa Rica,0.85,0.88,1.74,0,0
Serbia,Switzerland,1.61,1.52,3.13,1,1
Poland,Senegal,0.94,1.33,2.27,0,1
Ecuador,Paraguay,1.16,0.95,2.11,1,1
Nigeria,Ghana,1.03,0.82,1.85,0,0
Cameroon,Algeria,0.73,0.96,1.69,0,0
South Korea,Australia,1.02,0.79,1.81,0,0
Chile,Peru,1.55,0.71,2.26,1,0
Wales,Scotland,0.99,1.26,2.25,1,1
