home_team,away_team,scoreline,home_goals,away_goals,probability
France,Brazil,France 1-1 Brazil,1,1,0.1023
France,Brazil,France 1-2 Brazil,1,2,0.086
France,Brazil,France 2-1 Brazil,2,1,0.0742
France,Brazil,France 2-2 Brazil,2,2,0.0705
France,Brazil,France 1-3 Brazil,1,3,0.0545
Argentina,Germany,Argentina 1-1 Germany,1,1,0.0848
Argentina,Germany,Argentina 2-1 Germany,2,1,0.0822
Argentina,Germany,Argentina 2-2 Germany,2,2,0.0715
Argentina,Germany,Argentina 1-2 Germany,1,2,0.0653
Argentina,Germany,Argentina 3-1 Germany,3,1,0.06
Spain,England,Spain 1-1 England,1,1,0.1328
Spain,England,Spain 1-0 England,1,0,0.1011
Spain,England,Spain 2-1 England,2,1,0.0958
Spain,England,Spain 2-0 England,2,0,0.0948
Spain,England,Spain 0-0 England,0,0,0.0867
Portugal,Netherlands,Portugal 1-1 Netherlands,1,1,0.1122
Portugal,Netherlands,Portugal 1-2 Netherlands,1,2,0.0834
Portugal,Netherlands,Portugal 2-1 Netherlands,2,1,0.0819
Portugal,Netherlands,Portugal 2-2 Netherlands,2,2,0.0688
Portugal,Netherlands,Portugal 0-2 Netherlands,0,2,0.0505
Italy,Belgium,Italy 1-1 Belgium,1,1,0.1117
Italy,Belgium,Italy 2-1 Belgium,2,1,0.0984
Italy,Belgium,Italy 2-0 Belgium,2,0,0.0841
Italy,Belgium,Italy 1-0 Belgium,1,0,0.0717
Italy,Belgium,Italy 3-1 Belgium,3,1,0.0653
Japan,South Korea,Japan 0-0 South Korea,0,0,0.2143
Japan,South Korea,Japan 1-0 South Korea,1,0,0.1696
Japan,South Korea,Japan 1-1 South Korea,1,1,0.1429
Japan,South Korea,Japan 0-1 South Korea,0,1,0.1181
Japan,South Korea,Japan 2-0 South Korea,2,0,0.0874
Mexico,United States,Mexico 1-0 United States,1,0,0.1561
Mexico,United States,Mexico 2-0 United States,2,0,0.1432
Mexico,United States,Mexico 1-1 United States,1,1,0.1168
Mexico,United States,Mexico 0-0 United States,0,0,0.1137
Mexico,United States,Mexico 2-1 United States,2,1,0.0874
Uruguay,Colombia,Uruguay 1-1 Colombia,1,1,0.1494
Uruguay,Colombia,Uruguay 0-0 Colombia,0,0,0.1372
Uruguay,Colombia,Uruguay 1-0 Colombia,1,0,0.1281
Uruguay,Colombia,Uruguay 0-1 Colombia,0,1,0.0921
Uruguay,Colombia,Uruguay 2-0 Colombia,2,0,0.0879
Croatia,Denmark,Croatia 1-1 Denmark,1,1,0.1155
Croatia,Denmark,Croatia 2-1 Denmark,2,1,0.0869
Croatia,Denmark,Croatia 1-2 Denmark,1,2,0.0792
Croatia,Denmark,Croatia 2-2 Denmark,2,2,0.0673
Croatia,Denmark,Croatia 2-0 Denmark,2,0,0.0561
Morocco,Senegal,Morocco 0-0 Senegal,0,0,0.2167
Morocco,Senegal,Morocco 1-0 Senegal,1,0,0.1511
Morocco,Senegal,Morocco 1-1 Senegal,1,1,0.1461
Morocco,Senegal,Morocco 0-1 Senegal,0,1,0.1371
Morocco,Senegal,Morocco 2-0 Senegal,2,0,0.0705
France,Argentina,France 1-1 Argentina,1,1,0.0978
France,Argentina,France 1-2 Argentina,1,2,0.0818
France,Argentina,France 2-1 Argentina,2,1,0.0762
France,Argentina,France 2-2 Argentina,2,2,0.072
France,Argentina,France 1-3 Argentina,1,3,0.0515
Spain,Germany,Spain 2-1 Germany,2,1,0.0941
Spain,Germany,Spain 1-1 Germany,1,1,0.0901
Spain,Germany,Spain 2-0 Germany,2,0,0.0741
Spain,Germany,Spain 3-1 Germany,3,1,0.074
Spain,Germany,Spain 2-2 Germany,2,2,0.0597
Brazil,England,Brazil 1-1 England,1,1,0.1325
Brazil,England,Brazil 2-1 England,2,1,0.0903
Brazil,England,Brazil 1-0 England,1,0,0.0757
Brazil,England,Brazil 1-2 England,1,2,0.0756
Brazil,England,Brazil 0-0 England,0,0,0.0743
Portugal,France,Portugal 1-1 France,1,1,0.1098
Portugal,France,Portugal 1-2 France,1,2,0.0919
Portugal,France,Portugal 2-1 France,2,1,0.0705
Portugal,France,Portugal 2-2 France,2,2,0.0666
Portugal,France,Portugal 0-2 France,0,2,0.0633
Argentina,Brazil,Argentina 1-1 Brazil,1,1,0.1189
Argentina,Brazil,Argentina 1-2 Brazil,1,2,0.0841
Argentina,Brazil,Argentina 2-1 Brazil,2,1,0.0831
Argentina,Brazil,Argentina 2-2 Brazil,2,2,0.0665
Argentina,Brazil,Argentina 0-0 Brazil,0,0,0.0553
France,Bolivia,France 3-0 Bolivia,3,0,0.1407
France,Bolivia,France 4-0 Bolivia,4,0,0.1276
France,Bolivia,France 2-0 Bolivia,2,0,0.1162
France,Bolivia,France 5-0 Bolivia,5,0,0.0927
France,Bolivia,France 3-1 Bolivia,3,1,0.0619
Germany,Japan,Germany 1-1 Japan,1,1,0.104
Germany,Japan,Germany 2-1 Japan,2,1,0.0952
Germany,Japan,Germany 2-0 Japan,2,0,0.0716
Germany,Japan,Germany 3-1 Japan,3,1,0.0657
Germany,Japan,Germany 2-2 Japan,2,2,0.0633
Spain,Morocco,Spain 1-0 Morocco,1,0,0.1658
Spain,Morocco,Spain 2-0 Morocco,2,0,0.1632
Spain,Morocco,Spain 0-0 Morocco,0,0,0.1079
Spain,Morocco,Spain 1-1 Morocco,1,1,0.1002
Spain,Morocco,Spain 3-0 Morocco,3,0,0.1001
United States,Iran,United States 0-1 Iran,0,1,0.2076
United States,Iran,United States 0-0 Iran,0,0,0.1619
United States,Iran,United States 0-2 Iran,0,2,0.1616
United States,Iran,United States 1-1 Iran,1,1,0.1068
United States,Iran,United States 0-3 Iran,0,3,0.0792
Saudi Arabia,Mexico,Saudi Arabia 0-0 Mexico,0,0,0.2249
Saudi Arabia,Mexico,Saudi Arabia 0-1 Mexico,0,1,0.2038
Saudi Arabia,Mexico,Saudi Arabia 1-1 Mexico,1,1,0.1284
Saudi Arabia,Mexico,Saudi Arabia 0-2 Mexico,0,2,0.1136
Saudi Arabia,Mexico,Saudi Arabia 1-0 Mexico,1,0,0.0945
Australia,Tunisia,Australia 1-1 Tunisia,1,1,0.1523
Australia,Tunisia,Australia 0-0 Tunisia,0,0,0.1376
Australia,Tunisia,Australia 0-1 Tunisia,0,1,0.1133
Australia,Tunisia,Australia 1-0 Tunisia,1,0,0.1061
Australia,Tunisia,Australia 1-2 Tunisia,1,2,0.0734
Canada,Costa Rica,Canada 0-0 Costa Rica,0,0,0.1945
