group,position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
A,1,South Korea,3,2,0,1,2,1,1,6
A,2,South Africa,3,1,2,0,1,0,1,5
A,3,Mexico,3,0,2,1,0,1,-1,2
A,4,Czech Republic,3,0,2,1,0,1,-1,2
B,1,Bosnia and Herzegovina,3,3,0,0,9,2,7,9
B,2,Switzerland,3,2,0,1,7,6,1,6
B,3,Canada,3,1,0,2,4,7,-3,3
B,4,Qatar,3,0,0,3,2,7,-5,0
C,1,Brazil,3,3,0,0,7,1,6,9
C,2,Morocco,3,1,1,1,3,2,1,4
C,3,Haiti,3,0,2,1,2,3,-1,2
C,4,Scotland,3,0,1,2,2,8,-6,1
D,1,Turkey,3,2,1,0,11,1,10,7
D,2,Australia,3,1,2,0,4,2,2,5
D,3,Paraguay,3,1,1,1,2,6,-4,4
D,4,United States,3,0,0,3,0,8,-8,0
E,1,Germany,3,2,1,0,5,3,2,7
E,2,Curacao,3,1,2,0,3,2,1,5
E,3,Ecuador,3,1,0,2,2,3,-1,3
E,4,Ivory Coast,3,0,1,2,2,4,-2,1
F,1,Tunisia,3,2,0,1,3,2,1,6
F,2,Japan,3,1,1,1,4,4,0,4
F,3,Sweden,3,1,1,1,5,7,-2,4
F,4,Netherlands,3,1,0,2,7,6,1,3
G,1,New Zealand,3,2,1,0,6,3,3,7
G,2,Iran,3,1,2,0,2,1,1,5
G,3,Egypt,3,1,1,1,2,2,0,4
G,4,Belgium,3,0,0,3,3,7,-4,0
H,1,Spain,3,2,1,0,5,1,4,7
H,2,Saudi Arabia,3,2,0,1,3,2,1,6
H,3,Uruguay,3,1,0,2,2,5,-3,3
H,4,Cape Verde,3,0,1,2,3,5,-2,1
I,1,France,3,3,0,0,11,2,9,9
I,2,Iraq,3,2,0,1,3,5,-2,6
I,3,Senegal,3,1,0,2,2,2,0,3
I,4,Norway,3,0,0,3,1,8,-7,0
J,1,Argentina,3,3,0,0,6,0,6,9
J,2,Colombia,3,1,1,1,1,1,0,4
J,3,Ghana,3,0,2,1,2,3,-1,2
J,4,Uzbekistan,3,0,1,2,2,7,-5,1
K,1,Portugal,3,3,0,0,9,2,7,9
K,2,Croatia,3,1,1,1,9,9,0,4
K,3,Honduras,3,0,2,1,4,7,-3,2
K,4,Algeria,3,0,1,2,2,6,-4,1
L,1,Nigeria,3,3,0,0,6,2,4,9
L,2,England,3,1,1,1,3,3,0,4
L,3,Denmark,3,1,0,2,4,6,-2,3
L,4,Costa Rica,3,0,1,2,0,2,-2,1
