match_id,stage,home_team,away_team,home_goals,away_goals,winner,loser,extra_time,penalties,penalty_score,home_xg,away_xg,result_type
73,R32,South Africa,Switzerland,0,2,Switzerland,South Africa,False,False,,0.36,1.08,regulation
74,R32,Brazil,Japan,1,3,Japan,Brazil,False,False,,2.27,0.73,regulation
75,R32,Germany,Sweden,5,0,Germany,Sweden,False,False,,3.34,0.83,regulation
76,R32,Tunisia,Morocco,0,1,Morocco,Tunisia,False,False,,0.5,0.41,regulation
77,R32,Curacao,Iraq,0,2,Iraq,Curacao,False,False,,0.81,0.55,regulation
78,R32,France,Paraguay,1,0,France,Paraguay,False,False,,4.21,0.2,regulation
79,R32,South Korea,Senegal,0,0,South Korea,Senegal,True,True,4-3,0.44,0.31,penalties
80,R32,Nigeria,Ecuador,1,0,Nigeria,Ecuador,False,False,,2.73,0.26,regulation
81,R32,New Zealand,Uruguay,1,2,Uruguay,New Zealand,False,False,,1.39,1.05,regulation
82,R32,Turkey,Canada,3,0,Turkey,Canada,False,False,,2.25,0.55,regulation
83,R32,Spain,Colombia,3,0,Spain,Colombia,False,False,,3.19,0.2,regulation
84,R32,Croatia,England,0,2,England,Croatia,False,False,,0.67,1.98,regulation
85,R32,Bosnia and Herzegovina,Egypt,2,1,Bosnia and Herzegovina,Egypt,True,False,,1.15,0.73,extra_time
86,R32,Australia,Iran,3,0,Australia,Iran,False,False,,0.82,0.83,regulation
87,R32,Argentina,Saudi Arabia,4,0,Argentina,Saudi Arabia,False,False,,2.82,0.2,regulation
88,R32,Portugal,Denmark,3,1,Portugal,Denmark,False,False,,2.93,0.81,regulation
89,R16,Switzerland,Germany,0,1,Germany,Switzerland,False,False,,0.94,2.95,regulation
90,R16,Japan,Iraq,3,0,Japan,Iraq,False,False,,2.24,0.2,regulation
91,R16,Morocco,France,2,3,France,Morocco,True,False,,0.51,2.51,extra_time
92,R16,South Korea,Nigeria,0,1,Nigeria,South Korea,False,False,,0.3,1.2,regulation
93,R16,Spain,England,3,0,Spain,England,False,False,,1.89,0.53,regulation
94,R16,Uruguay,Turkey,2,2,Turkey,Uruguay,True,True,6-7,1.23,1.77,penalties
95,R16,Bosnia and Herzegovina,Argentina,0,1,Argentina,Bosnia and Herzegovina,False,False,,0.6,3.49,regulation
96,R16,Australia,Portugal,1,3,Portugal,Australia,False,False,,1.04,2.79,regulation
97,QF,Germany,Japan,2,1,Germany,Japan,False,False,,2.37,1.15,regulation
98,QF,Spain,Turkey,4,0,Spain,Turkey,False,False,,3.85,0.2,regulation
99,QF,France,Nigeria,1,1,France,Nigeria,True,True,14-13,2.47,1.16,penalties
100,QF,Argentina,Portugal,4,0,Argentina,Portugal,False,False,,2.93,1.26,regulation
101,SF,Germany,Spain,2,3,Spain,Germany,False,False,,0.83,3.04,regulation
102,SF,France,Argentina,2,0,France,Argentina,False,False,,1.93,2.13,regulation
103,3rd_place,Germany,Argentina,1,3,Argentina,Germany,True,False,,1.51,2.28,extra_time
104,Final,Spain,France,2,1,Spain,France,True,False,,2.8,0.94,extra_time
